avg_star,num_sold_time,price,variation,product_id,shop_id,product_name,brand,storage,origin,type,skin_kind,is_5_star,is_4_star,is_3_star,is_2_star,is_1_star,is_commented,is_image,num_rating,processed_description,expiry,send_from,image_path
4.8,185700,99000.0,one_variation,0,0,Sữa rửa mặt Simple lành tính sạch thoáng - cho da nhạy cảm 150ml [CHÍNH HÃNG ĐỘC QUYỀN] [DIỆN MẠO MỚI],simple,18081.0,no_origin,no_type,no_skin,60700,2700,1200,640,1600,42200,37900,66840,ưu_điểm nổi_trội sữa rửa mặt simple lành_tính sạch thoáng cho da nhạy_cảm chứa x2 vitamin b5 vitamin e và pro amino acids giu p la m sạch da hiệu_quả cuốn_đi chất nhờn bụi bẩn và các tạp_chất khác và không gây kích ứng cho da mềm mịn đồng_thời mang lại cảm_giác tươi_mát và sạch thoáng cho da so với công_thức cũ simple facial wash 10 soap fre không chứa hóa_chất gây hại cho da hương_liệu nhân_tạo phẩm màu nhân_tạo xà_phòng cồn dầu khoáng paraben hạn_chế làm da_khô căng rát hay kích ứng hướng_dẫn sử_dụng cho một lượng sữa rửa mặt vừa đủ ra_tay để tạo bọt cùng với nước mát_xa sản_phẩm lên_da và rửa_sạch với nước sử_dụng mỗi ngày hai lần sáng và tối để đạt được hiệu_quả tốt nhất kết_hợp dùng kèm nước tẩy_trang simple micelar water trước khi rửa mặt và nước hoa_hồng simple sothing toner sau khi rửa mặt thông_tin thương_hiệu simple là thương_hiệu chăm_sóc da số 1 anh quốc theo nguồn dữ_liệu của nielsen 2021 simple được thành_lập từ những năm 1960 được phát_triển nghiên_cứu bởi các bác_sĩ và chuyên_gia da_liễu với định_vị là một nhãn hàng_không chứa hương_liệu chất tạo màu hay các hóa_chất có hại cho da an_toàn với cả làn da nhạy_cảm nhất đồng_thời với sự kết_hợp giữa các dưỡng chất thiết_yếu cùng với các thành_phần tự_nhiên mà vẫn hiệu_quả giúp mang lại cho bạn làn da trông khỏe_mạnh vì đơn_giản là simple chăm da thật khỏe chú_ý và điều_kiện bảo_quản tránh tiếp_xúc với mắt nếu tiếp_xúc với mắt rửa ngay bằng nước_sạch để xa tầm tay trẻ_em tránh nhiệt_độ cao và ánh nắng trực_tiếp đóng nắp sau khi sử_dụng xuất_xứ poland ngày sản_xuất xem trên bao_bì hạn sử_dụng 03 năm kể từ ngày sản_xuất,no_expiry,tp. hồ chí minh,111138057_8587034871.jpg
4.8,102600,99000.0,one_variation,1,0,Sữa rửa mặt Simple giúp kiềm dầu và ngừa mụn hiệu quả - cho da dầu mụn 150ml [CHÍNH HÃNG ĐỘC QUYỀN] [DIỆN MẠO MỚI],simple,9857.0,no_origin,no_type,no_skin,33200,1600,709,320,723,22700,20400,36552,ưu_điểm nổi_trội sữa rửa mặt simple giúp kiềm dầu ngừa mụn cho da dầu dễ nổi mụn với chất gel thanh_khiết chứa chiết_xuất cây hazel kẽm từ thực_vật hay còn gọi_là vitamin b3 simple cuốn đi bụi bẩn tạp_chất và dầu thừa la m sạch da và giảm bóng nhờn ngừa mụn hiệu_quả đặc_biệt sản_phẩm không chứa_chất tẩy da chết hóa_học acid bha được biết đến là nguyên_nhân gây khô da ngoài_ra còn bổ_sung thêm vitamin b3 giúp cấp cân_bằng độ_ẩm trên da hạn_chế làm da_khô và tránh tình_trạng tiết thêm dầu ngăn_ngừa mụn không chứa hóa_chất gây hại cho da hương_liệu nhân_tạo phẩm màu nhân_tạo xà_phòng cồn dầu khoáng paraben hạn_chế làm da_khô căng rát hay kích ứng hướng_dẫn sử_dụng cho một lượng sữa rửa mặt vừa đủ ra_tay để tạo bọt cùng với nước mát_xa sản_phẩm lên_da và rửa_sạch với nước sử_dụng mỗi ngày hai lần sáng và tối để đạt được hiệu_quả tốt nhất kết_hợp dùng kèm nước tẩy_trang simple micelar water trước khi rửa mặt và nước hoa_hồng simple sothing toner sau khi rửa mặt thông_tin thương_hiệu simple là thương_hiệu chăm_sóc da số 1 anh quốc theo nguồn dữ_liệu của nielsen 2021 simple được thành_lập từ những năm 1960 được phát_triển nghiên_cứu bởi các bác_sĩ và chuyên_gia da_liễu với định_vị là một nhãn hàng_không chứa hương_liệu chất tạo màu hay các hóa_chất có hại cho da an_toàn với cả làn da nhạy_cảm nhất đồng_thời với sự kết_hợp giữa các dưỡng chất thiết_yếu cùng với các thành_phần tự_nhiên mà vẫn hiệu_quả giúp mang lại cho bạn làn da trông khỏe_mạnh vì đơn_giản là simple chăm da thật khỏe chú_ý và điều_kiện bảo_quản tránh tiếp_xúc với mắt nếu tiếp_xúc với mắt rửa ngay bằng nước_sạch để xa tầm tay trẻ_em tránh nhiệt_độ cao và ánh nắng trực_tiếp đóng nắp sau khi sử_dụng xuất_xứ poland ngày sản_xuất xem trên bao_bì hạn sử_dụng 03 năm kể từ ngày sản_xuất,no_expiry,tp. hồ chí minh,111138057_8287055694.jpg
4.9,8100,244000.0,"['Phiên bản 2022 (80g)', 'Phiên bản 2023(100g)']",2,1,"Sữa rửa mặt nam 30Shine phân phối chính hãng Skin&dr Tràm trà 80g cho da mụn, da dầu, dưỡng ẩm trắng da",Skin&Dr	,95.0,Việt Nam,dạng kem,no_skin,2500,97,25,8,14,886,618,2644,sữa rửa mặt nam skin dr tràm trà 80 g cho da mụn da dầu dưỡng ẩm trắng da 30 shine phân_phối chính hãng tràm trà vốn nổi_tiếng là loại nguyên_liệu cực tốt trong việc hỗ_trợ giảm mụn tinh dầu_tràm trà có khả_năng bảo_vệ khỏi vi_khuẩn cao hơn bất_kỳ loại tinh_dầu tự_nhiên nào hơn thế loại tinh_dầu này rất lành_tính nên thường được dùng như nguyên_liệu sản_xuất các loại mỹ_phẩm làm đẹp đặc_biệt là sản_phẩm sữa rửa mặt giảm và ngăn_ngừa mụn thông_tin của sản_phẩm sữa rửa mặt nam_giới skin dr tràm trà thương dung_tích 80 g xuất_xứ hàn quốc hạn sử_dụng 2 năm kể từ ngày sản_xuất nhà nhập_khẩu và phân_phối công_ty tnh thương_mại và dịch_vụ thiên_uy địa_chỉ 50 nguyễn_văn_vĩ phường 12 quận tân_bình tp hồ chí_minh thành_phần của sữa rửa mặt su a ru a ma t tra ng da nam skin dr tràm trà chiết_xuất từ cây tràm trà chứa axit và glycolic có trong cây_đu_đủ chứa axit aha bh công_dụng của su a ru a ma t cho nam skin dr tràm trà làm sạch da hiệu_quả làm mờ vết thâm giúp da sáng đều màu và khỏe_mạnh rạng_rỡ làm sạch sâu làm sạch bã_nhờn và tẩy tế_bào chết trên da giúp lỗ chân_lông thông_thoáng cân_bằng ph cho da hỗ_trợ tái_tạo làn da mới mịn_màng tươi_sáng điều_tiết dầu_nhờn giúp da thoáng sạch se khít lỗ chân_lông cấp ẩm duy_trì sự mềm_mại cho da ngăn_chặn khô bong tróc có khả_năng làm sạch lớp trang_điểm trên da hướng_dẫn sử_dụng sản_phẩm su a ru a ma t da nh cho nam skin dr tràm trà làm ướt da mặt_bằng nước ấm xoa đều sữa rửa mặt đánh bông bọt masage nhẹ lên vùng da cần_dùng nước rửa sạch dùng 2 lần ngày sáng và tối để đạt hiệu_quả tốt nhất bảo_quản nơi khô_ráo và tránh ánh nắng Japanese_symbol_for_beginner tài_khoản chính_thức của hệ_thống 30 shine tại shope cam_kết với khách_hàng về sản_phẩm sữa rửa mặt nam skin dr tràm trà sản_phẩm 10 giống mô_tả giao hàng ngay khi nhận được đơn đổi trả theo đúng quy_định của shope 1 điều_kiện áp_dụng trong vòng 07 ngày kể từ khi nhận sản_phẩm hàng_hóa vẫn còn mới chưa qua sử_dụng hàng_hóa bị lỗi hoặc hư_hỏng do vận_chuyển hoặc do nhà_sản_xuất 2 trường_hợp được chấp_nhận hàng_không đúng chủng_loại mẫu_mã như quý_khách đặt_hàng_không đủ số_lượng không đủ bộ như trong đơn hàng tình_trạng bên ngoài bị ảnh_hưởng như rách bao_bì bong tróc bể vỡ 3 trường_hợp không đủ điều_kiện áp_dụng chính_sách quá 07 ngày kể từ khi quý_khách nhận hàng gửi lại hàng_không đúng mẫu_mã không phải hàng của shop do màn_hình và điều_kiện ánh_sáng khác nhau màu_sắc thực_tế của sản_phẩm có_thể chênh_lệch khoảng 3 5 skin dr 30 shine freship mypham trangda tramtra freship 1 k ruamat sangda,24,hà nội,21080428_9335942418.mp4
4.9,3600,119000.0,one_variation,3,2,Sữa rửa mặt nam RHYS MAN Rhys Coconut Fresh hương dừa thơm mát 100ml,RHYS MAN,264.0,Việt Nam,dạng sánh,Da hỗn hợp,168,8,3,0,1,92,63,180,chính hãng sữa rửa mặt nam rhys man rhys coconut fresh hương dừa thơm mát 10 ml đây là sản_phẩm sữa rửa mặt được nghiên_cứu dành riêng cho nam_giới giúp làm sạch da giảm nhờn và giữ ẩm thông_tin sản_phẩm thành_phần chiết_xuất lô_hội hỗ_trợ giảm mụn se nhỏ lỗ chân_lông dưỡng ẩm và làm sáng da tinh_chất dầu_dừa lành_tính giúp dưỡng ẩm vượt_trội cho da_khô tinh_dầu bạc_hà giúp làm sạch da loại sạch bụi bẩn và bã_nhờn xuất_xứ việt nam dung_tích 10 ml sản_phẩm đã được công_bố và kiểm_định công_dụng sản_phẩm giúp làm sạch da loại_bỏ bụi bẩn dầu thừa lớp trang_điểm tế_bào chết trên da làm thoáng lỗ chân_lông cho làn da sáng sạch hơn giúp cân_bằng độ_ẩm hỗ_trợ giảm mụn trên da hướng_dẫn sử_dụng check_mark_bước_1 làm ướt da mặt check_mark bước 2 lấy lượng vừa đủ sản_phẩm ra lòng bàn_tay tạo bọt với nước check_mark bước 3 thoa đều khắp mặt masage nhẹ_nhàng check_mark bước 4 rửa lại bằng nước_sạch điều_kiện bảo_quản để nơi thoáng mát tránh nhiệt_độ cao và ánh_sáng trực_tiếp ngày sản_xuất xem trên bao_bì hạn sử_dụng 2 năm kể từ ngày sản_xuất thông_tin thương_hiệu rhys man là thương_hiệu chăm_sóc cá_nhân dành cho nam_giới đã được đăng_ký với bộ công_thương tuân_thủ đầy_đủ các tiêu_chuẩn an_toàn và mọi thông_tin về sản_phẩm đều rõ_ràng minh_bạch với danh_mục sản_phẩm đa_dạng phù_hợp với mọi nhu_cầu chăm_sóc cá_nhân khác nhau của phái mạnh rhys man hướng tới sự toàn_diện hiện_đại trẻ_trung giúp phái mạnh tự_tin suốt cả ngày dài ruamat lamsach nguamun namgioi,24,hà nội,758111427_19601743242.mp4
4.8,26300,9900.0,one_variation,4,3,🌈🍒🍭 Sữa Rửa Mặt Senana Lấy Sạch Bụi Bẩn Giúp Da Trắng Sáng-Y3-K6T3,no_brand,987914.0,no_origin,no_type,no_skin,5700,349,150,52,61,3200,2300,6312,sỉ tốt 13 k c bao giá sl toàn_quốc ngại j không ib_shop ngay trắng sáng dưỡng ẩm cấp_nước senana nộiđịa đài trung trọng_lượng 60 g công_dụng của srm senana dưỡng da ẩm mượt tươi_trẻ khiến cho ướt da mặt lấy một lượng sữa rửa mặt_bằng hạt ngô cho ra_tay hoặc miếng tạo bọt đánh bông lấy phần bọt thoa đều nhẹ_nhõm lên khuôn_mặt và lưu_ý xoa xuôi theo chiều lỗ chân_lông để chất bẩn dễ_dàng theo đà bị quấn ra ngoài thời_kì khoảng 20 30 giây bạn ko nên để sữa lâu quá trên da mặt rửa sạch có nước và thấm khô da bằng khăn mềm lưu_ý sử_dụng sữa rửa mặt ko quá 2 rửa mặt trước lúc đi ngủ là vô_cùng quan_yếu tạo điều_kiện thông_thoáng và tái_tạo tế_bào da lấy đi những chất bẩn bám trên da sau 1 ngày dài srm senana có 2 dạng cho các nàng lựa_chọn senana cấp ẩm chống lão_hóa trẻ_hóa da senana dưỡng trắng sáng da,no_expiry,hà nội,107632788_3330988133.jpg
3.0,35,31000.0,one_variation,5,4,Sữa Rửa Mặt Simple Refreshing Facial Wash 150ml kiềm dầu Giảm Mụn,SIMPLE PURE,294.0,Anh Quốc,dạng gel,no_skin,1,0,0,0,1,1,0,2,sữa rửa mặt simple facial wash 150 ml kiềm dầu giảm mụn thể_tích 150 ml thích_hợp cho mọi loại da simple facial wash gel là sữa rửa mặt dạng gel giúp nhẹ_nhàng làm sạch da mà mà vẫn giữ được độ_ẩm thành_phần có sự kết_hợp khá đơn_giản không chứa_chất gây hại cho da vừa cung_cấp đủ vitamin cho da vừa thực_hiện tốt chức_năng làm sạch giúp lấy hết bã_nhờn cho da tuy là sản_phẩm không tạo bọt nhưng khi masage trên mặt vẫn tạo ra lớp bọt mỏng giúp bạn loại_bỏ thật dễ_dàng dầu bụi bẩn và cặn trang_điểm hướng_dẫn sử_dụng làm ướt mặt cho một lượng vừa đủ ra lòng bàn_tay masage nhẹ_nhàng rửa sạch lại với nước depda_shop cam_kết sẽ giao đúng hàng mà khách đã lựa_chọn chuẩn_bị hàng siêu_tốc trong 24 giờ,24,tp. hồ chí minh,594960937_14548366720.jpg
4.9,73,35000.0,one_variation,6,5,Sữa Rửa Mặt Dạng Gel Simple Refreshing  – LQ154,no_brand,5000.0,no_origin,no_type,no_skin,12,1,0,0,0,7,4,13,làm sạch da chính là bước quan_trọng đầu_tiên trong các bước chăm_sóc da chính vì_vậy việc lựa_chọn một loại sản_phẩm sữa rửa mặt phù_hợp với làn da sẽ là tiền_đề để có một làn da đẹp gel rửa mặt simple facial 150 ml với công_thức không chứa dầu có khả_năng làm sạch nhẹ_nhàng giúp loại_bỏ hoàn_toàn bụi bẩn bã_nhờn và các tạp_chất sâu trong lỗ chân_lông từ đó ngăn_chặn tối_đa_sự hình_thành của mụn trên da sản_phẩm có kết_cấu dạng gel trong siêu mềm mịn với độ_ph cân_bằng sẽ giúp làn da không bị khô căng rát sau khi rửa mặt mà ngược lại bạn sẽ cảm_nhận ngay được làn da thông_thoáng mềm_mại và tươi_mát hướng_dẫn sử_dụng làm ướt da mặt sau đó lấy một lượng vừa đủ sữa rửa mặt ra_tay sạch và tạo bọt nhẹ_nhàng masage lên khắp toàn_bộ khuôn_mặt để loại_bỏ bụi bẩn và bã_nhờn cuối_cùng rửa sạch lại cùng với nước để có kết_quả tốt nhất nên sử_dụng 2 lần ngày vào buổi sáng sau khi ngủ dậy và buổi tối sau bước tẩy_trang,no_expiry,tp. hồ chí minh,102812033_3313234281.jpg
5.0,26,33500.0,one_variation,7,6,"Sữa Rửa Mặt Simple Kind To Skin Refreshing Facial Wash, Kiềm Dầu, sạch Mụn 150ml",SIMPLE PURE,199.0,Anh,dạng lỏng,Mọi loại da,5,0,0,0,0,2,1,5,sữa rửa mặt simple kind to skin facial wash kiềm dầu sạch mụn 150 g thành_phần chính của sữa rửa mặt simple là nước aqua cùng hoạt_chất b5 thanh_lọc bụi bẩn và làm dịu làn da đồng_thời cung_cấp đủ vitamin và độ_ẩm mà vẫn đảm_bảo không gây hại cho da bạn công_thức không chứa dầu nhẹ_nhàng làm sạch da lấy đi bụi bẩn cùng bã_nhờn dư_thừa mang lại làn da với lỗ chân_lông thông_thoáng giảm nguy_cơ hình_thành mụn trứng_cá và mụn đầu_đen sữa rửa mặt simple phù_hợp da thường da hỗn_hợp da dầu mụn và đặc_biệt là da nhạy_cảm kết_cấu dạng gel trong chất gel không quá lỏng không quá đặc nhanh thấm qua da và phát_huy_hiệu_quả làm sạch độ_ph 6 5 hoàn_hảo giúp làn da không bị khô căng rát sau khi rửa mặt_shop cam_kết_giao đúng sản_phẩm mà khách_hàng đã lựa_chọn giao_hoàn_toàn_quốc tư_vấn nhiệt_tình trả_lời tin nhắn chat trong vòng 30 phút simple kiemdau sachmun 150 ml,no_expiry,tp. hồ chí minh,492729537_14885253904.jpg
5.0,8,19900.0,one_variation,8,5,Sữa rửa mặt giảm nám và chống tàn nhang Đông Y Baizton da trắng sáng và dưỡng ẩm 60g,no_brand,4999.0,no_origin,no_type,no_skin,2,0,0,0,0,1,1,2,check_mark công_dụng giúp làm mờ các mảng nám tàn nhàng và thâm mụn hiệu_quả hiệu_quả đối_với tất_cả các loại nám từ nám mảng chân sâu và nám hỗn_hợp nám mới hay lâu năm đều có hiệu_quả khi sử_dụng đủ liệu trình sản_phẩm dưỡng da trắng sáng tự_nhiên và đều màu cân_bằng dầu_nhờn diệt mụn liti mụn cám trên da se khít lỗ chân_lông dưỡng ẩm_dưỡng mịn và giảm nhăn vết chân_chim trên da,no_expiry,tp. hồ chí minh,102812033_21347751073.jpg
5.0,2100,329000.0,"['200ml', '400ml']",9,7,Sữa Rửa Mặt SVR Sebiaclear Gel Moussant 400ml Gel Rửa Mặt SVR 400ml,SVR,148879.0,Pháp,no_type,"Da mụn trứng cá, Mọi loại da, Da hỗn hợp",679,5,0,0,0,79,58,684,sữa rửa mặt svr gel mousant 40 ml gel rửa mặt svr 40 ml gel rửa mặt svr gel mousant là sản_phẩm sữa rửa mặt dành cho làn da_dầu m ụn đến từ thư ơng hiệ u dư ợc mỹ_phẩm svr với công_thức không chứa x à ph òng giúp làm sạch nhẹ_nhàng làm thông_thoáng làn da khả_năng tạo bọt mịn giúp loại_trừ các chất bẩn và lượng b ã nhờ n dư_thừa mà không làm khô da có_thể rửa sạch dễ_dàng mang lại một làn da sạch tươi_mát và khô thoáng loại da phù_hợp sữa rửa mặt svr gel mousant 40 ml gel rửa mặt svr 40 ml sản_phẩm phù_hợp với da hỗn_hợp đến da_dầu da m ụn nhạy_cảm giải_pháp cho tình_trạng da da dầu t hừa l ỗ ch ân l ông to da mụ n t rứng c á mụ n đ ầu đ en m ụn ẩ n do b ít tắ c l ỗ châ n lôn g ưu_thế nổi_bật sữa rửa mặt svr gel mousant 40 ml gel rửa mặt svr 40 ml với t ác độ ng gi ảm viê m và tiê u sừ ng giúp làm sạch da và th ông thóa ng l ỗ ch ân l ông hiệu_quả tương_tự như ahas với độ dung_nạp tốt hơn có tác_dụng g ỉam k huẩn và đi ều tiế t b ã nh ờn các tác_nhân làm sạch dịu nhẹ giúp làm s ạch hiệ u qu ả trong khi vẫn giữ vững sự cân_bằng cho làn da nhạy_cảm mat sr 2 giúp điều_hòa_lượng bã_nhờn d ư th ừa cho làn da không bóng dầu dạng gel khôn g ch ứa x à phò ng tạo bọt mịn giúp làm sạch da hi ệu q ủa nhưng không gây kh ô că ng dễ_dàng rửa sạch mà không nhờn rít da được làm sạch 10 loại_bỏ l ượng b ã n hờn dư_thừa 10 giả m tắ c ngh ẽn l ỗ c hân l ông 10 da mềm_mại 10_độ an_toàn sữa rửa mặt svr gel mousant 40 ml gel rửa mặt svr 40 ml không chứa xà_phòng k hông ch ứa cồ n không chứa_chất tạo màu không chứa paraben không gây d ị ứn g bảo_quản sữa rửa mặt svr gel mousant 40 ml gel rửa mặt svr 40 ml bảo_quản nơi khô_ráo thoáng mát tránh ánh nắng trực_tiếp hoặc nơi có nhiệ t đ ộ cao ẩm_ướt đóng kín nắp sau khi sử_dụng dung 40 ml thương_hiệu svr xuất_xứ thương_hiệu pháp sản_xuất tại pháp hướng_dẫn sử_dụng vệ_sinh tay thật sạch làm ướt mặt lấy một lượng sữa rửa mặt vừa đủ cỡ bằng hạt đậu ra lòng bàn_tay thêm vào lòng bàn_tay một_ít nước vào tạo bọt bạn có_thể tạo bọt bằng tay hoặc sử_dụng lưới tạo bọt áp bọt lên mặt và masage nhẹ_nhàng trên mặt để lấy đi bụi bẩn là m sạ ch s âu cho da srmsvr,24,tp. hồ chí minh,425554589_19931947987.jpg
